row_id,address_line_1,address_line_2,city,state,zip,phone,mon_hrs,tue_hrs,wed_hrs,thu_hrs,fri_hrs,sat_hrs,sun_hrs,drive-thru,mobile-order,dunkin-card,kcup,curbside-pickup,has-baskin-robbins,loc_lat,loc_long
0,1114 1st St N,Suite 200,Alabaster,AL,35007,(205) 624-4880,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,False,True,True,False,False,N/A,N/A
1,8171 US Highway 431,,Albertville,AL,35950,(256) 869-6075,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 9:00 PM,True,True,True,False,False,True,N/A,N/A
2,1700 US Highway 72 E,,Athens,AL,35611,(256) 960-9302,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,True,True,True,True,False,False,34.78169848062834,-86.93452385029505
3,171 N College St,,Auburn,AL,36830,(334) 707-8552,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,False,False,True,True,False,False,32.608800333333335,-85.481849
4,2049 S College St,,Auburn,AL,36832,(334) 501-2233,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False,32.567323,-85.501589125
5,2178 Eastern Valley Rd,,Bessemer,AL,35022,(205) 425-1333,6:00 AM - 4:00 PM,6:00 AM - 4:00 PM,6:00 AM - 4:00 PM,6:00 AM - 4:00 PM,6:00 AM - 4:00 PM,6:00 AM - 4:00 PM,7:00 AM - 4:00 PM,True,True,True,True,False,False,33.33462388169388,-86.99590345819408
6,1820 Gadsden Hwy,Ste 100,Birmingham,AL,35235,(205) 533-8295,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,True,True,True,True,False,False,N/A,N/A
7,2109 6th Ave S,,Birmingham,AL,35233,(205) 297-8777,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 4:00 PM,6:00 AM - 4:00 PM,6:00 AM - 4:00 PM,7:00 AM - 5:00 PM,True,True,True,True,False,False,33.50771952265388,-86.79896993473974
8,300 Commons Dr,,Birmingham,AL,35209,(205) 518-5250,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,True,True,True,True,False,False,33.4419585,-86.8307574
9,400 Cahaba Park Cir,Suite 1,Birmingham,AL,35242,(205) 502-7311,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,5:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,True,False,True,True,False,False,N/A,N/A
